"time","cases","reported_cases","variable"
2007,5285,177.946127946128,"prediction TSIR"
2007.04,4442.71,149.586195286195,"prediction TSIR"
2007.08,3234.71,108.912794612795,"prediction TSIR"
2007.12,3274,110.23569023569,"prediction TSIR"
2007.15,3738.3,125.868686868687,"prediction TSIR"
2007.19,4163.44,140.183164983165,"prediction TSIR"
2007.23,4434.35,149.304713804714,"prediction TSIR"
2007.27,4719.48,158.90505050505,"prediction TSIR"
2007.31,6675.76,224.773063973064,"prediction TSIR"
2007.35,10426.17,351.049494949495,"prediction TSIR"
2007.38,16217.9,546.057239057239,"prediction TSIR"
2007.42,20015.44,673.920538720539,"prediction TSIR"
2007.46,25143.74,846.590572390572,"prediction TSIR"
2007.5,32177.9,1083.43097643098,"prediction TSIR"
2007.54,36618.14,1232.93400673401,"prediction TSIR"
2007.58,33899.48,1141.39663299663,"prediction TSIR"
2007.62,29734.11,1001.14848484848,"prediction TSIR"
2007.65,24303.22,818.290235690236,"prediction TSIR"
2007.69,20043.47,674.86430976431,"prediction TSIR"
2007.73,16069.86,541.072727272727,"prediction TSIR"
2007.77,12407.82,417.771717171717,"prediction TSIR"
2007.81,9913.67,333.793602693603,"prediction TSIR"
2007.85,7522.88,253.295622895623,"prediction TSIR"
2007.88,6199.22,208.727946127946,"prediction TSIR"
2007.92,4791.64,161.33468013468,"prediction TSIR"
2007.96,4957.32,166.913131313131,"prediction TSIR"
2007,5285,177.946127946128,"prediction TSIR-increased S"
2007.04,5549.18,186.841077441077,"prediction TSIR-increased S"
2007.08,4911.4,165.367003367003,"prediction TSIR-increased S"
2007.12,5881.4,198.026936026936,"prediction TSIR-increased S"
2007.15,7825.42,263.482154882155,"prediction TSIR-increased S"
2007.19,9976.57,335.911447811448,"prediction TSIR-increased S"
2007.23,11942.46,402.10303030303,"prediction TSIR-increased S"
2007.27,13972.38,470.450505050505,"prediction TSIR-increased S"
2007.31,21667.13,729.532996632997,"prediction TSIR-increased S"
2007.35,36563.8,1231.10437710438,"prediction TSIR-increased S"
2007.38,60475.66,2036.21750841751,"prediction TSIR-increased S"
2007.42,78072.85,2628.71548821549,"prediction TSIR-increased S"
2007.46,101343.5,3412.23905723906,"prediction TSIR-increased S"
2007.5,131669.05,4433.30134680135,"prediction TSIR-increased S"
2007.54,149666.79,5039.28585858586,"prediction TSIR-increased S"
2007.58,135821.81,4573.12491582492,"prediction TSIR-increased S"
2007.62,114995.33,3871.89663299663,"prediction TSIR-increased S"
2007.65,89803.9,3023.70033670034,"prediction TSIR-increased S"
2007.69,70189.2,2363.27272727273,"prediction TSIR-increased S"
2007.73,53226.9,1792.15151515152,"prediction TSIR-increased S"
2007.77,38888.78,1309.38653198653,"prediction TSIR-increased S"
2007.81,29383.52,989.344107744108,"prediction TSIR-increased S"
2007.85,21154.58,712.275420875421,"prediction TSIR-increased S"
2007.88,16614.92,559.424915824916,"prediction TSIR-increased S"
2007.92,12266.16,413.00202020202,"prediction TSIR-increased S"
2007.96,12137.86,408.682154882155,"prediction TSIR-increased S"
2002,38,1.27946127946128,"TSIR fit"
2002.04,59.69,2.00976430976431,"TSIR fit"
2002.08,72.48,2.44040404040404,"TSIR fit"
2002.12,119.4,4.02020202020202,"TSIR fit"
2002.15,206.86,6.96498316498317,"TSIR fit"
2002.19,334.38,11.2585858585859,"TSIR fit"
2002.23,489.12,16.4686868686869,"TSIR fit"
2002.27,678.36,22.840404040404,"TSIR fit"
2002.31,1241.56,41.803367003367,"TSIR fit"
2002.35,2404.16,80.9481481481481,"TSIR fit"
2002.38,4552.33,153.277104377104,"TSIR fit"
2002.42,6698.71,225.545791245791,"TSIR fit"
2002.46,9872.18,332.396632996633,"TSIR fit"
2002.5,14582.95,491.008417508418,"TSIR fit"
2002.54,18914.87,636.86430976431,"TSIR fit"
2002.58,19745.76,664.840404040404,"TSIR fit"
2002.62,19306.75,650.058922558923,"TSIR fit"
2002.65,17410.96,586.227609427609,"TSIR fit"
2002.69,15669.5,527.592592592593,"TSIR fit"
2002.73,13619.74,458.577104377104,"TSIR fit"
2002.77,11299.82,380.46531986532,"TSIR fit"
2002.81,9586.57,322.780134680135,"TSIR fit"
2002.85,7702.21,259.33367003367,"TSIR fit"
2002.88,6685.27,225.093265993266,"TSIR fit"
2002.92,5395.26,181.658585858586,"TSIR fit"
2002.96,5769.43,194.256902356902,"TSIR fit"
2003,4114.43,138.532996632997,"TSIR fit"
2003.04,3732.75,125.681818181818,"TSIR fit"
2003.08,2916.34,98.193265993266,"TSIR fit"
2003.12,3134.65,105.543771043771,"TSIR fit"
2003.15,3771.19,126.976094276094,"TSIR fit"
2003.19,4433.35,149.271043771044,"TSIR fit"
2003.23,4930.43,166.007744107744,"TSIR fit"
2003.27,5404.15,181.957912457912,"TSIR fit"
2003.31,7899.95,265.991582491583,"TSIR fit"
2003.35,12687.81,427.19898989899,"TSIR fit"
2003.38,20220.61,680.82861952862,"TSIR fit"
2003.42,25380.84,854.573737373737,"TSIR fit"
2003.46,32475.21,1093.44141414141,"TSIR fit"
2003.5,42073.01,1416.59966329966,"TSIR fit"
2003.54,48429.17,1630.61178451178,"TSIR fit"
2003.58,45200.47,1521.90134680135,"TSIR fit"
2003.62,39854.06,1341.88754208754,"TSIR fit"
2003.65,32660.24,1099.67138047138,"TSIR fit"
2003.69,26952.21,907.481818181818,"TSIR fit"
2003.73,21622.39,728.026599326599,"TSIR fit"
2003.77,16676.55,561.5,"TSIR fit"
2003.81,13260.59,446.484511784512,"TSIR fit"
2003.85,10007.58,336.955555555556,"TSIR fit"
2003.88,8245.13,277.613804713805,"TSIR fit"
2003.92,6333.29,213.242087542088,"TSIR fit"
2003.96,6522.62,219.616835016835,"TSIR fit"
2004,4493.96,151.311784511785,"TSIR fit"
2004.04,3941.88,132.723232323232,"TSIR fit"
2004.08,2987.1,100.575757575758,"TSIR fit"
2004.12,3115.51,104.899326599327,"TSIR fit"
2004.15,3685.24,124.082154882155,"TSIR fit"
2004.19,4229.88,142.420202020202,"TSIR fit"
2004.23,4604.1,155.020202020202,"TSIR fit"
2004.27,4981.94,167.742087542088,"TSIR fit"
2004.31,7209.42,242.741414141414,"TSIR fit"
2004.35,11464.89,386.023232323232,"TSIR fit"
2004.38,18047.77,607.669023569024,"TSIR fit"
2004.42,22489.15,757.210437710438,"TSIR fit"
2004.46,28528.33,960.549831649832,"TSIR fit"
2004.5,36781.26,1238.42626262626,"TSIR fit"
2004.54,42144.37,1419.00235690236,"TSIR fit"
2004.58,39208.21,1320.14175084175,"TSIR fit"
2004.62,34519.09,1162.25892255892,"TSIR fit"
2004.65,28343.99,954.343097643098,"TSIR fit"
2004.69,23387.83,787.469023569024,"TSIR fit"
2004.73,18770.27,631.995622895623,"TSIR fit"
2004.77,14541.64,489.617508417508,"TSIR fit"
2004.81,11607.68,390.830976430976,"TSIR fit"
2004.85,8801.14,296.33468013468,"TSIR fit"
2004.88,7257.42,244.357575757576,"TSIR fit"
2004.92,5590.5,188.232323232323,"TSIR fit"
2004.96,5753.07,193.706060606061,"TSIR fit"
2005,3975.46,133.853872053872,"TSIR fit"
2005.04,3496.97,117.743097643098,"TSIR fit"
2005.08,2668.3,89.8417508417509,"TSIR fit"
2005.12,2778.66,93.5575757575757,"TSIR fit"
2005.15,3296.6,110.996632996633,"TSIR fit"
2005.19,3800.31,127.956565656566,"TSIR fit"
2005.23,4155.65,139.920875420875,"TSIR fit"
2005.27,4492.76,151.27138047138,"TSIR fit"
2005.31,6507.82,219.118518518519,"TSIR fit"
2005.35,10353.94,348.617508417508,"TSIR fit"
2005.38,16317.52,549.411447811448,"TSIR fit"
2005.42,20369.33,685.836026936027,"TSIR fit"
2005.46,25894.05,871.853535353535,"TSIR fit"
2005.5,33451.72,1126.32053872054,"TSIR fit"
2005.54,38441.92,1294.34074074074,"TSIR fit"
2005.58,35897.01,1208.65353535354,"TSIR fit"
2005.62,31718.84,1067.97441077441,"TSIR fit"
2005.65,26093.15,878.557239057239,"TSIR fit"
2005.69,21635.82,728.478787878788,"TSIR fit"
2005.73,17419.54,586.516498316498,"TSIR fit"
2005.77,13495.1,454.380471380471,"TSIR fit"
2005.81,10819.48,364.292255892256,"TSIR fit"
2005.85,8246.28,277.652525252525,"TSIR fit"
2005.88,6818,229.56228956229,"TSIR fit"
2005.92,5256.43,176.984175084175,"TSIR fit"
2005.96,5431.36,182.874074074074,"TSIR fit"
2006,3747.44,126.176430976431,"TSIR fit"
2006.04,3308.49,111.39696969697,"TSIR fit"
2006.08,2513.08,84.6154882154882,"TSIR fit"
2006.12,2648.24,89.16632996633,"TSIR fit"
2006.15,3140.31,105.734343434343,"TSIR fit"
2006.19,3617.67,121.807070707071,"TSIR fit"
2006.23,3960.51,133.350505050505,"TSIR fit"
2006.27,4287.69,144.366666666667,"TSIR fit"
2006.31,6207.21,208.99696969697,"TSIR fit"
2006.35,9913.6,333.791245791246,"TSIR fit"
2006.38,15657.91,527.202356902357,"TSIR fit"
2006.42,19612.49,660.353198653199,"TSIR fit"
2006.46,24939.98,839.729966329966,"TSIR fit"
2006.5,32268.25,1086.47306397306,"TSIR fit"
2006.54,37104.09,1249.29595959596,"TSIR fit"
2006.58,34686.69,1167.90202020202,"TSIR fit"
2006.62,30688.14,1033.27070707071,"TSIR fit"
2006.65,25268.28,850.783838383838,"TSIR fit"
2006.69,20970.47,706.076430976431,"TSIR fit"
2006.73,16916.85,569.590909090909,"TSIR fit"
2006.77,13181.71,443.82861952862,"TSIR fit"
2006.81,10565.11,355.72760942761,"TSIR fit"
2006.85,8054.58,271.19797979798,"TSIR fit"
2006.88,6666.24,224.452525252525,"TSIR fit"
2006.92,5136.21,172.936363636364,"TSIR fit"
2006.96,5304.5,178.602693602694,"TSIR fit"
2002,1128.6,38,"data"
2002.04,1752.3,59,"data"
2002.08,1514.7,51,"data"
2002.12,1722.6,58,"data"
2002.15,2257.2,76,"data"
2002.19,3237.3,109,"data"
2002.23,4158,140,"data"
2002.27,3831.3,129,"data"
2002.31,5227.2,176,"data"
2002.35,11731.5,395,"data"
2002.38,18859.5,635,"data"
2002.42,16869.6,568,"data"
2002.46,26878.5,905,"data"
2002.5,34808.4,1172,"data"
2002.54,32165.1,1083,"data"
2002.58,33085.8,1114,"data"
2002.62,26967.6,908,"data"
2002.65,29581.2,996,"data"
2002.69,25571.7,861,"data"
2002.73,19008,640,"data"
2002.77,20879.1,703,"data"
2002.81,14582.7,491,"data"
2002.85,9117.9,307,"data"
2002.88,8820.9,297,"data"
2002.92,8137.8,274,"data"
2002.96,7603.2,256,"data"
2003,7009.2,236,"data"
2003.04,4811.4,162,"data"
2003.08,3742.2,126,"data"
2003.12,2791.8,94,"data"
2003.15,3445.2,116,"data"
2003.19,4039.2,136,"data"
2003.23,4573.8,154,"data"
2003.27,7246.8,244,"data"
2003.31,7959.6,268,"data"
2003.35,10751.4,362,"data"
2003.38,15711.3,529,"data"
2003.42,27175.5,915,"data"
2003.46,27650.7,931,"data"
2003.5,34719.3,1169,"data"
2003.54,39679.2,1336,"data"
2003.58,38016,1280,"data"
2003.62,34065.9,1147,"data"
2003.65,20017.8,674,"data"
2003.69,16038,540,"data"
2003.73,13572.9,457,"data"
2003.77,9711.9,327,"data"
2003.81,8345.7,281,"data"
2003.85,5464.8,184,"data"
2003.88,5821.2,196,"data"
2003.92,3564,120,"data"
2003.96,2880.9,97,"data"
2004,2673,90,"data"
2004.04,2316.6,78,"data"
2004.08,2286.9,77,"data"
2004.12,2494.8,84,"data"
2004.15,2791.8,94,"data"
2004.19,2257.2,76,"data"
2004.23,2524.5,85,"data"
2004.27,2138.4,72,"data"
2004.31,4425.3,149,"data"
2004.35,7246.8,244,"data"
2004.38,14374.8,484,"data"
2004.42,16780.5,565,"data"
2004.46,24591.6,828,"data"
2004.5,31689.9,1067,"data"
2004.54,35580.6,1198,"data"
2004.58,26581.5,895,"data"
2004.62,24502.5,825,"data"
2004.65,20552.4,692,"data"
2004.69,17730.9,597,"data"
2004.73,13929.3,469,"data"
2004.77,11167.2,376,"data"
2004.81,8791.2,296,"data"
2004.85,6623.1,223,"data"
2004.88,4544.1,153,"data"
2004.92,3742.2,126,"data"
2004.96,4158,140,"data"
2005,2732.4,92,"data"
2005.04,1633.5,55,"data"
2005.08,1039.5,35,"data"
2005.12,1603.8,54,"data"
2005.15,1989.9,67,"data"
2005.19,2286.9,77,"data"
2005.23,2465.1,83,"data"
2005.27,2465.1,83,"data"
2005.31,3148.2,106,"data"
2005.35,5346,180,"data"
2005.38,9266.4,312,"data"
2005.42,11790.9,397,"data"
2005.46,16394.4,552,"data"
2005.5,23908.5,805,"data"
2005.54,35491.5,1195,"data"
2005.58,30769.2,1036,"data"
2005.62,26225.1,883,"data"
2005.65,20611.8,694,"data"
2005.69,17255.7,581,"data"
2005.73,12978.9,437,"data"
2005.77,10216.8,344,"data"
2005.81,9236.7,311,"data"
2005.85,7929.9,267,"data"
2005.88,4870.8,164,"data"
2005.92,3385.8,114,"data"
2005.96,3445.2,116,"data"
2006,1633.5,55,"data"
2006.04,2108.7,71,"data"
2006.08,1633.5,55,"data"
2006.12,1811.7,61,"data"
2006.15,2286.9,77,"data"
2006.19,3534.3,119,"data"
2006.23,3682.8,124,"data"
2006.27,5108.4,172,"data"
2006.31,9355.5,315,"data"
2006.35,12681.9,427,"data"
2006.38,16988.4,572,"data"
2006.42,24621.3,829,"data"
2006.46,26819.1,903,"data"
2006.5,34006.5,1145,"data"
2006.54,41312.7,1391,"data"
2006.58,48678.3,1639,"data"
2006.62,48203.1,1623,"data"
2006.65,44817.3,1509,"data"
2006.69,36382.5,1225,"data"
2006.73,34333.2,1156,"data"
2006.77,20047.5,675,"data"
2006.81,15800.4,532,"data"
2006.85,15533.1,523,"data"
2006.88,14077.8,474,"data"
2006.92,12117.6,408,"data"
2006.96,16929,570,"data"
2007,5583.6,188,"data"
2007.04,9919.8,334,"data"
2007.08,7929.9,267,"data"
2007.12,5197.5,175,"data"
2007.15,7514.1,253,"data"
2007.19,8375.4,282,"data"
2007.23,12028.5,405,"data"
2007.27,17285.4,582,"data"
2007.31,34719.3,1169,"data"
2007.35,51351.3,1729,"data"
2007.38,78912.9,2657,"data"
2007.42,143332.2,4826,"data"
2007.46,163379.7,5501,"data"
2007.5,167121.9,5627,"data"
2007.54,137748.6,4638,"data"
2007.58,110662.2,3726,"data"
2007.62,73923.3,2489,"data"
2007.65,52153.2,1756,"data"
2007.69,33026.4,1112,"data"
2007.73,23967.9,807,"data"
2007.77,11018.7,371,"data"
2007.81,10454.4,352,"data"
2007.85,6355.8,214,"data"
2007.88,5108.4,172,"data"
2007.92,2970,100,"data"
2007.96,3534.3,119,"data"
2008,1722.6,58,"data"
2012,4744,168.825622775801,"prediction TSIR"
2012.04,2502.34,89.0512455516014,"prediction TSIR"
2012.08,1990.89,70.8501779359431,"prediction TSIR"
2012.12,1825.62,64.9686832740213,"prediction TSIR"
2012.15,1988.48,70.7644128113879,"prediction TSIR"
2012.19,2752.88,97.9672597864769,"prediction TSIR"
2012.23,2382.05,84.770462633452,"prediction TSIR"
2012.27,3088.08,109.896085409253,"prediction TSIR"
2012.31,4869.43,173.289323843416,"prediction TSIR"
2012.35,7525.46,267.809964412811,"prediction TSIR"
2012.38,13219.39,470.440925266904,"prediction TSIR"
2012.42,18322.44,652.044128113879,"prediction TSIR"
2012.46,23361.92,831.385053380783,"prediction TSIR"
2012.5,27834.83,990.56334519573,"prediction TSIR"
2012.54,29312.44,1043.14733096085,"prediction TSIR"
2012.58,30658.29,1091.04234875445,"prediction TSIR"
2012.62,28930.55,1029.55693950178,"prediction TSIR"
2012.65,26149.71,930.594661921708,"prediction TSIR"
2012.69,21869.78,778.283985765124,"prediction TSIR"
2012.73,15865.79,564.618861209964,"prediction TSIR"
2012.77,14165.45,504.108540925267,"prediction TSIR"
2012.81,11786.7,419.455516014235,"prediction TSIR"
2012.85,8515.45,303.040925266904,"prediction TSIR"
2012.88,6114.29,217.590391459075,"prediction TSIR"
2012.92,5383.03,191.566903914591,"prediction TSIR"
2012.96,4304.79,153.19537366548,"prediction TSIR"
2012,4744,168.825622775801,"prediction TSIR-increased S"
2012.04,3540.64,126.001423487544,"prediction TSIR-increased S"
2012.08,3726.66,132.621352313167,"prediction TSIR-increased S"
2012.12,4250.93,151.278647686833,"prediction TSIR-increased S"
2012.15,5550.51,197.527046263345,"prediction TSIR-increased S"
2012.19,8817.53,313.791103202847,"prediction TSIR-increased S"
2012.23,8526,303.416370106762,"prediction TSIR-increased S"
2012.27,12066.49,429.412455516014,"prediction TSIR-increased S"
2012.31,20351.62,724.256939501779,"prediction TSIR-increased S"
2012.35,33012.22,1174.81209964413,"prediction TSIR-increased S"
2012.38,59951.43,2133.50284697509,"prediction TSIR-increased S"
2012.42,84322.09,3000.78612099644,"prediction TSIR-increased S"
2012.46,106976.68,3806.99928825623,"prediction TSIR-increased S"
2012.5,124266.63,4422.3,"prediction TSIR-increased S"
2012.54,125398.72,4462.58790035587,"prediction TSIR-increased S"
2012.58,123500.6,4395.03914590747,"prediction TSIR-increased S"
2012.62,108500.14,3861.21494661922,"prediction TSIR-increased S"
2012.65,90671.35,3226.7384341637,"prediction TSIR-increased S"
2012.69,69995.5,2490.94306049822,"prediction TSIR-increased S"
2012.73,47127.51,1677.13558718861,"prediction TSIR-increased S"
2012.77,39169.87,1393.94555160142,"prediction TSIR-increased S"
2012.81,30457.71,1083.90427046263,"prediction TSIR-increased S"
2012.85,20703.36,736.774377224199,"prediction TSIR-increased S"
2012.88,14160.29,503.924911032028,"prediction TSIR-increased S"
2012.92,11954.52,425.427758007117,"prediction TSIR-increased S"
2012.96,9208.39,327.700711743772,"prediction TSIR-increased S"
2008,58,2.06405693950178,"TSIR fit"
2008.04,70.8,2.51957295373665,"TSIR fit"
2008.08,112.88,4.01708185053381,"TSIR fit"
2008.12,178.51,6.35266903914591,"TSIR fit"
2008.15,307.19,10.9320284697509,"TSIR fit"
2008.19,611.93,21.7768683274021,"TSIR fit"
2008.23,713.39,25.3875444839858,"TSIR fit"
2008.27,1173.36,41.7565836298932,"TSIR fit"
2008.31,2256.56,80.3046263345196,"TSIR fit"
2008.35,4057.79,144.405338078292,"TSIR fit"
2008.38,8073.22,287.303202846975,"TSIR fit"
2008.42,12386.06,440.785053380783,"TSIR fit"
2008.46,17126.62,609.488256227758,"TSIR fit"
2008.5,21830.81,776.897153024911,"TSIR fit"
2008.54,24299.81,864.761921708185,"TSIR fit"
2008.58,26596.87,946.507829181495,"TSIR fit"
2008.62,26090.28,928.479715302491,"TSIR fit"
2008.65,24294.62,864.577224199288,"TSIR fit"
2008.69,20844.57,741.799644128114,"TSIR fit"
2008.73,15477.36,550.795729537367,"TSIR fit"
2008.77,14053.5,500.124555160142,"TSIR fit"
2008.81,11854.73,421.876512455516,"TSIR fit"
2008.85,8645.69,307.675800711744,"TSIR fit"
2008.88,6269.2,223.103202846975,"TSIR fit"
2008.92,5554.38,197.664768683274,"TSIR fit"
2008.96,4467.63,158.990391459075,"TSIR fit"
2009,3151.03,112.136298932384,"TSIR fit"
2009.04,1849.55,65.8202846975089,"TSIR fit"
2009.08,1602.78,57.0384341637011,"TSIR fit"
2009.12,1563.71,55.6480427046263,"TSIR fit"
2009.15,1809.85,64.4074733096085,"TSIR fit"
2009.19,2634.26,93.7459074733096,"TSIR fit"
2009.23,2359.05,83.9519572953737,"TSIR fit"
2009.27,3143.55,111.870106761566,"TSIR fit"
2009.31,5076.6,180.661921708185,"TSIR fit"
2009.35,8005.06,284.877580071174,"TSIR fit"
2009.38,14247.35,507.023131672598,"TSIR fit"
2009.42,19992.26,711.468327402135,"TSIR fit"
2009.46,25687.71,914.153380782918,"TSIR fit"
2009.5,30815.01,1096.61957295374,"TSIR fit"
2009.54,32499.8,1156.57651245552,"TSIR fit"
2009.58,34033.7,1211.16370106762,"TSIR fit"
2009.62,32114.77,1142.8743772242,"TSIR fit"
2009.65,28985.36,1031.50747330961,"TSIR fit"
2009.69,24231.08,862.316014234875,"TSIR fit"
2009.73,17572.11,625.341992882562,"TSIR fit"
2009.77,15653.17,557.05231316726,"TSIR fit"
2009.81,12974.28,461.718149466192,"TSIR fit"
2009.85,9348.2,332.67615658363,"TSIR fit"
2009.88,6684.57,237.885053380783,"TSIR fit"
2009.92,5891.29,209.654448398577,"TSIR fit"
2009.96,4691.84,166.969395017794,"TSIR fit"
2010,3275.53,116.566903914591,"TSIR fit"
2010.04,1920.02,68.3281138790036,"TSIR fit"
2010.08,1663.86,59.2120996441281,"TSIR fit"
2010.12,1620.13,57.655871886121,"TSIR fit"
2010.15,1869.37,66.5256227758007,"TSIR fit"
2010.19,2693.25,95.8451957295374,"TSIR fit"
2010.23,2426.7,86.3594306049822,"TSIR fit"
2010.27,3237.34,115.207829181495,"TSIR fit"
2010.31,5222.58,185.856939501779,"TSIR fit"
2010.35,8215.9,292.380782918149,"TSIR fit"
2010.38,14612.35,520.012455516014,"TSIR fit"
2010.42,20481,728.861209964413,"TSIR fit"
2010.46,26299.84,935.937366548043,"TSIR fit"
2010.5,31456.19,1119.43736654804,"TSIR fit"
2010.54,33166.74,1180.31103202847,"TSIR fit"
2010.58,34677.62,1234.07900355872,"TSIR fit"
2010.62,32670.52,1162.65195729537,"TSIR fit"
2010.65,29453.47,1048.16619217082,"TSIR fit"
2010.69,24544.92,873.484697508897,"TSIR fit"
2010.73,17822.27,634.244483985765,"TSIR fit"
2010.77,15872.48,564.856939501779,"TSIR fit"
2010.81,13163.69,468.45871886121,"TSIR fit"
2010.85,9461.95,336.724199288256,"TSIR fit"
2010.88,6778.11,241.213879003559,"TSIR fit"
2010.92,5962.91,212.203202846975,"TSIR fit"
2010.96,4754.72,169.207117437722,"TSIR fit"
2011,3303.53,117.56334519573,"TSIR fit"
2011.04,1919.75,68.3185053380783,"TSIR fit"
2011.08,1657.84,58.9978647686833,"TSIR fit"
2011.12,1615.86,57.5039145907473,"TSIR fit"
2011.15,1865.64,66.3928825622776,"TSIR fit"
2011.19,2692.6,95.8220640569395,"TSIR fit"
2011.23,2433.81,86.6124555160142,"TSIR fit"
2011.27,3256.88,115.903202846975,"TSIR fit"
2011.31,5235.66,186.322419928826,"TSIR fit"
2011.35,8263.74,294.083274021352,"TSIR fit"
2011.38,14712.51,523.576868327402,"TSIR fit"
2011.42,20619.45,733.788256227758,"TSIR fit"
2011.46,26469.13,941.961921708185,"TSIR fit"
2011.5,31666.29,1126.91423487544,"TSIR fit"
2011.54,33439.91,1190.03238434164,"TSIR fit"
2011.58,34955.59,1243.97117437722,"TSIR fit"
2011.62,32926.31,1171.75480427046,"TSIR fit"
2011.65,29761.87,1059.14128113879,"TSIR fit"
2011.69,24841.21,884.028825622776,"TSIR fit"
2011.73,18022.5,641.370106761566,"TSIR fit"
2011.77,16036.09,570.679359430605,"TSIR fit"
2011.81,13269.25,472.215302491103,"TSIR fit"
2011.85,9539.16,339.471886120996,"TSIR fit"
2011.88,6825.51,242.900711743772,"TSIR fit"
2011.92,6005.53,213.719928825623,"TSIR fit"
2011.96,4793.27,170.579003558719,"TSIR fit"
2008,1629.8,58,"data"
2008.04,1433.1,51,"data"
2008.08,1292.6,46,"data"
2008.12,1180.2,42,"data"
2008.15,1264.5,45,"data"
2008.19,1798.4,64,"data"
2008.23,1826.5,65,"data"
2008.27,2781.9,99,"data"
2008.31,4777,170,"data"
2008.35,7053.1,251,"data"
2008.38,10200.3,363,"data"
2008.42,15651.7,557,"data"
2008.46,19585.7,697,"data"
2008.5,18939.4,674,"data"
2008.54,18489.8,658,"data"
2008.58,22339.5,795,"data"
2008.62,18714.6,666,"data"
2008.65,16129.4,574,"data"
2008.69,20091.5,715,"data"
2008.73,17000.5,605,"data"
2008.77,15174,540,"data"
2008.81,14696.3,523,"data"
2008.85,11521,410,"data"
2008.88,11268.1,401,"data"
2008.92,7193.6,256,"data"
2008.96,6153.9,219,"data"
2009,3400.1,121,"data"
2009.04,1348.8,48,"data"
2009.08,1489.3,53,"data"
2009.12,1910.8,68,"data"
2009.15,2950.5,105,"data"
2009.19,3231.5,115,"data"
2009.23,3456.3,123,"data"
2009.27,4889.4,174,"data"
2009.31,7193.6,256,"data"
2009.35,11155.7,397,"data"
2009.38,17169.1,611,"data"
2009.42,22985.8,818,"data"
2009.46,31022.4,1104,"data"
2009.5,33804.3,1203,"data"
2009.54,32343.1,1151,"data"
2009.58,25767.7,917,"data"
2009.62,26863.6,956,"data"
2009.65,26891.7,957,"data"
2009.69,18040.2,642,"data"
2009.73,10734.2,382,"data"
2009.77,11773.9,419,"data"
2009.81,11015.2,392,"data"
2009.85,7671.3,273,"data"
2009.88,4552.2,162,"data"
2009.92,4130.7,147,"data"
2009.96,2950.5,105,"data"
