SampleName,Accession
DENS-093,PP470598
DENS-177,PP470602
DENS-174,can not summit low coverage
DENS-OB-145,PP470600
DENS-OB-067,PP470671
DENS-OB-068,PP470672
DENS-OB-070,PP470673
DENS-124,PP470599
DENS-187,PP470603
DENS-167,PP470601
109-0998S_L1,PP396280
109-1034S_L1,PP396279
109-1123S_S88,PP406368
109-1230S_S40,PP396732
109-1240S_S44,PP406369
109-1272_L1,PP406370
109-1281_L1,PP406371
109-1458S_L1,PP406372
109-1462S_L1,PP406373
109-1546S_L1,PP406374
109-1707S_S62,PP447197
109-1724S_S71,PP406375
109-1733S_S75,PP406376
109-1751S_S83,PP406447
109-1752S_S49,PP406448
109-1758S_S55,PP406449
109-1759S_S56,PP406450
109-1760S_S57,PP406451
109-1787S_S89,PP406452
109-1796S_S127,PP406453
109-1806S_S132,PP406454
109-1815S_S115,PP406455
109-1816S_S116,PP469533
109-1833S_S125,PP411227
109-1835S_S139,PP411228
109-1837S_S141,PP411229
109-1848S_S9,PP411230
109-1851S_S10,PP411231
109-1852S_S11,PP411232
109-1855S_S14,PP411233
109-1863S_S18,PP411234
109-1864S_S19,PP411235
109-1880S_S52,PP411249
109-1882S_S60,PP411250
109-1911S_L1,PP411251
109-1925S_L1,PP411252
109-1954S_L1,PP411253
109-1972S_L1,PP411254
109-1990S_L1,PP411255
109-2001S_L1,PP447198
109-2002S_L1,PP411256
109-2015S_L1,PP411257
109-2031S_L1,PP439581
109-2032S_L1,PP439582
109-2034S_L1,PP446688
109-2038S_L1,PP447199
109-2071S_L1,PP446689
109-2079S_L1,PP446690
109-2116S_L1,PP446691
109-2279S_L1,PP469534
109-2325S_L1,PP446692
109-2396S_L1,PP447200
109-2425S_L1,PP446693
109-2430S_L1,PP446694
RR082_365_SERAa_S48,PP439574
RR083_366_SERAa_S60,PP439575
RR090_373_SERAa_S50,PP439576
RR098_381_SERAa_S63,PP439577
RR124_407_SERAa_S138,PP439578
RR128_411_SERAa_S186,PP439579
RR150_433_SERAa_S118,PP439580